Scheme,Scheme Code,Last Recorded NAV On,Last Recorded NAV *
L AND T INDIA PRUDENCE FUND - GROWTH,118191,27-Oct-17,25.708
RELIANCE REGULAR SAVINGS FUND - BALANCED PLAN - GROWTH OPTION,112936,27-Oct-17,54.2907
TATA BALANCED FUND - REGULAR PLAN - MONTHLY DIVIDEND,113134,27-Oct-17,69.1987
DSP BLACKROCK BANKING AND PSU DEBT FUND - REGULAR - GROWTH,124172,27-Oct-17,14.4546
ICICI PRUDENTIAL BANKING AND PSU DEBT FUND - GROWTH,112342,27-Oct-17,19.6258
L and T Short term Income Fund - Growth,118133,27-Oct-17,18.2652
RELIANCE BANKING AND PSU DEBT FUND - GROWTH PLAN,134545,27-Oct-17,12.3203
ICICI PRUDENTIAL LONG TERM -  GROWTH,112096,27-Oct-17,21.3887
BNP PARIBAS FLEXI DEBT FUND - GROWTH,117957,27-Oct-17,29.653
Canara Robeco Dynamic Bond Fund Regular Growth,111962,27-Oct-17,19.5551
HDFC MEDIUM TERM OPPORTUNITIES FUND - REGULAR PLAN - GROWTH,113070,27-Oct-17,18.97
IDFC Dynamic Bond Fund-Regular Plan-Growth,111524,27-Oct-17,20.7466
SBI DYNAMIC BOND FUND - REGULAR PLAN - GROWTH,102205,27-Oct-17,21.4214
ADITYA BIRLA MIP II  WEALTH 25 PLAN  MONTHLY PAYMENT,101818,27-Oct-17,38.8645
ICICI PRUDENTIAL BANKING AND FINANCIAL SERVICES FUND - GROWTH,109445,27-Oct-17,60.29
ADITYA BIRLA SUN LIFE TOP 100 FUND - DIVIDEND,103308,27-Oct-17,17.8886
BNP PARIBAS EQUITY FUND - DIVIDEND,113545,27-Oct-17,17.64
Canara Robeco Emerging Equities Regular Growth,102920,27-Oct-17,90.99
DSP BLACKROCK Equity Fund - Regular Plan - Dividend,100080,27-Oct-17,63.107
HDFC CAPITAL BUILDER FUND - REGULAR PLAN - DIVIDEND,101765,27-Oct-17,31.084
HDFC MID-CAP OPPORTUNITIES FUND - REGULAR PLAN - GROWTH,105758,27-Oct-17,55.609
ICICI PRUDENTIAL VALUE DISCOVERY FUND - GROWTH,102594,27-Oct-17,141.73
KOTAK SELECT FOCUS FUND -GROWTH OPTION,112090,27-Oct-17,32.725
SBI BLUE CHIP FUND - REGULAR PLAN - GROWTH,103504,27-Oct-17,37.2387
Franklin India Smaller Companies Fund GROWTH,103360,27-Oct-17,58.1712
L and T India Value Fund - Growth,118102,27-Oct-17,36.99
RELIANCE SMALL CAP FUND - GROWTH PLAN - GROWTH OPTION,113177,27-Oct-17,42.192
