"symbol","issue_price","ltP","date"
"SGBDEC25","2,911.00","4,860.00","Oct 05, 2020 16:00:00"
"SGBJAN27","3,164.00","4,601.00","Oct 05, 2020 16:00:00"
"SGBNOV25","2,884.00","4,812.00","Oct 05, 2020 16:00:00"
"SGBAUG24","3,119.00","5,030.00","Oct 05, 2020 16:00:00"
"SGBOCT27","-","4,751.00","Oct 05, 2020 16:00:00"
"SGBAUG27","-","4,821.00","Oct 05, 2020 16:00:00"
"SGBOCT27VI","-","4,750.01","Oct 05, 2020 16:00:00"
"SGBJUL25","2,780.00","4,850.00","Oct 05, 2020 16:00:00"
"SGBMAR28X","-","4,760.00","Oct 05, 2020 16:00:00"
"SGBMAY25","2,901.00","4,890.00","Oct 05, 2020 16:00:00"
"SGBOCT25V","2,921.00","4,910.00","Oct 05, 2020 16:00:00"
"SGBAPR28I","-","4,791.05","Oct 05, 2020 16:00:00"
"SGBSEP24","3,150.00","4,899.00","Oct 05, 2020 16:00:00"
"SGBJUL28IV","-","4,785.00","Oct 05, 2020 16:00:00"
"SGBJUN28","-","4,792.00","Oct 05, 2020 16:00:00"
"SGBMAY26","3,064.00","4,800.00","Oct 05, 2020 16:00:00"
"SGBJ28VIII","-","5,050.00","Oct 05, 2020 16:00:00"
"SGBDEC25XI","2,902.00","4,898.99","Oct 05, 2020 16:00:00"
"SGBNOV25IX","2,914.00","4,842.16","Oct 05, 2020 16:00:00"
"SGBOCT25","2,906.00","4,950.00","Oct 05, 2020 16:00:00"
"SGBNOV26","3,133.00","4,850.00","Oct 05, 2020 16:00:00"
"SGBSEP28VI","-","4,825.00","Oct 05, 2020 16:00:00"
"SGBJUL27","-","4,946.00","Oct 05, 2020 16:00:00"
"SGBSEP27","-","4,799.00","Oct 05, 2020 16:00:00"
"SGBDC27VII","-","4,820.00","Oct 05, 2020 16:00:00"
"SGBAUG28V","-","4,790.00","Oct 05, 2020 16:00:00"
"SGBMAY28","-","4,790.00","Oct 05, 2020 16:00:00"
"SGBMAR25","2,893.00","4,870.00","Oct 05, 2020 16:00:00"
"SGBNOV24","2,957.00","4,905.00","Oct 05, 2020 16:00:00"
"SGBFEB28IX","-","4,751.00","Oct 05, 2020 16:00:00"
"SGBJUN27","-","4,801.00","Oct 05, 2020 16:00:00"
"SGBFEB27","3,276.00","4,899.00","Oct 05, 2020 16:00:00"
"SGBJAN26","2,831.00","4,850.00","Oct 05, 2020 16:00:00"
"SGBDEC2513","2,816.00","4,821.00","Oct 05, 2020 16:00:00"
"SGBDEC2512","2,840.00","4,977.00","Oct 05, 2020 16:00:00"
"SGBNOV25VI","2,895.00","4,850.00","Oct 05, 2020 16:00:00"
"SGBDEC26","3,069.00","4,949.00","Oct 05, 2020 16:00:00"
"SGBOCT26","3,096.00","4,931.90","Oct 05, 2020 16:00:00"
"SGBNOV258","2,911.00","4,910.00","Oct 05, 2020 16:00:00"
"SGBOCT25IV","2,937.00","4,910.00","Oct 05, 2020 16:00:00"
"SGBNOV23","2,684.00","5,074.00","Oct 05, 2020 16:00:00"
"SGBFEB24","2,600.00","4,935.00","Oct 05, 2020 16:00:00"
"SGBMAR24","2,916.00","4,930.00","Oct 05, 2020 16:00:00"
