"symbol","series","bond_type","coupr","face_value","maturity_date","ltP","bYield","date"
"NHAI-N2","N2","Tax Free","   8.30","1,000","25-JAN-27","1,149.00","6.305429025717279","Jan 25, 2019 15:59:59"
"NHAI-NA","NA","Tax Free","   7.60","1,000","11-JAN-31","1,154.89","6.465774913526885","Jan 25, 2019 15:59:59"
"RECLTD-NI","NI","Tax Free","   8.12","1,000","27-MAR-27","1,148.93","6.465059251965142","Jan 25, 2019 15:59:59"
"HUDCO-N2","N2","Tax Free","   8.20","1,000","05-MAR-27","1,191.00","6.304078520624566","Jan 25, 2019 15:59:59"
"NHAI-N1","N1","Tax Free","   8.20","1,000","25-JAN-22","1,077.40","6.286531442479033","Jan 25, 2019 15:59:59"
"RECLTD-NC","NC","Regular","   8.63","1,000","24-MAR-29","1,160.36","-","Jan 25, 2019 15:59:59"
"IRFC-NO","NO","Tax Free","   7.64","1,000","22-MAR-31","1,114.10","6.513655993197203","Jan 25, 2019 15:59:59"
"NHAI-NE","NE","Tax Free","   7.69","1,000","09-MAR-31","1,124.00","6.480259670819668","Jan 25, 2019 15:59:59"
"ECLFINANCE-NR","NR","Regular","  10.15","1,000","04-JAN-29","997.44","-","Jan 25, 2019 15:59:59"
"NABARD-N2","N2","Tax Free","   7.64","1,000","23-MAR-31","1,157.00","6.515208291412463","Jan 25, 2019 15:59:59"
"SBIN-N2","N2","Regular","   9.50","10,000","04-NOV-25","11,221.00","8.891179102322393","Jan 25, 2019 15:59:59"
"SBIN-N5","N5","Regular","   9.95","10,000","16-MAR-26","11,623.00","8.39668521698442","Jan 25, 2019 15:59:59"
"IFCI-NH","NH","Regular","   9.90","1,000","01-DEC-24","994.50","-","Jan 25, 2019 15:59:59"
"IIHFL-N2","N2","Regular","  12.00","1,000","02-APR-20","1,021.00","10.419446977782336","Jan 25, 2019 15:59:59"
"NHAI-N6","N6","Regular","   8.75","1,000","15-FEB-29","1,253.28","6.310656020898145","Jan 25, 2019 15:59:59"
"RECLTD-N9","N9","Regular","   8.71","1,000","24-SEP-28","1,173.76","6.432084473421417","Jan 25, 2019 15:59:59"
"HUDCO-N3","N3","Tax Free","   8.10","1,000","05-MAR-22","1,133.98","5.883354963705937","Jan 25, 2019 15:59:59"
"IFCI-NL","NL","Regular","   9.40","1,000","13-FEB-25","954.00","-","Jan 25, 2019 15:59:59"
"IDFCFIRSTB-N2","N2","-","","-","-","9,032.00","-","Jan 25, 2019 15:59:59"
"L&TFINANCE-N4","N4","Regular","  10.24","1,000","17-SEP-19","1,033.75","10.524131555333929","Jan 25, 2019 15:59:59"
"DHFL-NP","NP","-","","-","-","912.00","12.937599702312264","Jan 25, 2019 15:59:59"
"SRTRANSFIN-Y9","Y9","Regular","  10.15","1,000","15-JUL-21","1,090.00","-","Jan 25, 2019 15:59:59"
"HUDCO-N8","N8","Tax Free","   7.64","1,000","08-FEB-31","1,090.00","6.508246754032908","Jan 25, 2019 15:59:59"
"SBIN-N6","N6","Regular","   9.45","10,000","16-MAR-26","11,190.00","-","Jan 25, 2019 15:59:59"
"PFC-N6","N6","Tax Free","   8.43","1,000","16-NOV-23","1,107.28","6.185879814063779","Jan 25, 2019 15:59:59"
"DHFL-N8","N8","-","","-","-","1,018.25","-","Jan 25, 2019 15:59:59"
"IFCI-NJ","NJ","Regular","   9.35","1,000","13-FEB-20","1,006.00","-","Jan 25, 2019 15:59:59"
